ACC	names
ACN-B-1	Tinea_bisselliella_1
ACN-B-2	Tinea_bisselliella_2
ACN-K-1	Niditinea_fuscella_1
ACN-L-1	Tinea_bisselliella_3
ACN-L-2	Tinea_bisselliella_4
ACN-L-3	Tinea_bisselliella_5
DWW-K-1	Tinea_bisselliella_6
DWW-K-2	Tinea_bisselliella_7
DWW-K-3	Tinea_bisselliella_8
DWW-K-4	Plodia_interpunctella_1
EAC-B-1	Tinea_bisselliella_9
EAC-B-2	Tinea_bisselliella_10
EAC-B-3	Tinea_bisselliella_11
EAC-B-4	Tinea_bisselliella_12
EAC-K-1	Tinea_bisselliella_13
EAC-K-2	Tinea_bisselliella_14
EAC-L-1	Tinea_bisselliella_15
EAC-L-2	Tinea_bisselliella_16
EAC-L-3	Tinea_bisselliella_17
EAC-L-4	Tinea_bisselliella_18
EAC-L-5	Tinea_bisselliella_19
HHC-B-1	Plodia_interpunctella_2
HHC-B-2	Monopis_crocicapitella_1
HHC-B-3	Tinea_bisselliella_20
HHC-B-4	Plodia_interpunctella_3
HHC-B-5	Plodia_interpunctella_4
HHC-K-1	Plodia_interpunctella_5
HHC-K-2	Plodia_interpunctella_6
HHC-K-3	Plodia_interpunctella_7
HHC-K-4	Plodia_interpunctella_8
HHC-K-5	Plodia_interpunctella_9
HHC-L-1	Plodia_interpunctella_10
HHC-L-2	Monopis_crocicapitella_2
INW-B-1	Tinea_bisselliella_21
INW-B-2	Tinea_bisselliella_22
INW-B-3	Tinea_bisselliella_23
INW-B-4	Monopis_crocicapitella_3
INW-B-5	Tinea_bisselliella_24
INW-B-6	Tinea_bisselliella_25
INW-B-7	Niditinea_fuscella_2
INW-B-8	Monopis_crocicapitella_4
INW-K-10	Plodia_interpunctella_11
INW-K-11	Tinea_bisselliella_26
INW-K-14	Plodia_interpunctella_12
INW-K-15	Tinea_croceoverticella_1
INW-K-16	Tinea_croceoverticella_2
INW-K-17	Tinea_croceoverticella_3
INW-K-1	Monopis_crocicapitella_5
INW-K-2	Plodia_interpunctella_13
INW-K-3	Tinea_bisselliella_27
INW-K-4	Tinea_bisselliella_28
INW-K-5	Ephestia_elutella_1
INW-K-6	Monopis_crocicapitella_6
INW-K-7	Tinea_bisselliella_29
INW-K-8	Tinea_bisselliella_30
INW-K-9	Monopis_crocicapitella_7
INW-L-1	Tinea_bisselliella_31
INW-L-21	Monopis_crocicapitella_8
INW-L-25	Monopis_crocicapitella_9
INW-L-2	Niditinea_fuscella_3
INW-L-30	Monopis_crocicapitella_10
INW-L-34	Tinea_croceoverticella_4
INW-L-35	Niditinea_fuscella_4
INW-L-3	Plodia_interpunctella_14
INW-L-4	Tinea_bisselliella_32
INW-L-5	Monopis_crocicapitella_11
INW-L-6	Tinea_bisselliella_33
INW-L-7	Tinea_bisselliella_34
INW-L-8	Tinea_bisselliella_35
JON-B-1	Tinea_bisselliella_36
JON-K-1	Tinea_bisselliella_37
JON-K-2	Tinea_bisselliella_38
JON-K-3	Tinea_bisselliella_39
JON-K-4	Tinea_bisselliella_40
JON-K-5	Tinea_bisselliella_41
JON-L-1	Tinea_bisselliella_42
JON-L-2	Niditinea_fuscella_5
JON-L-3	Tinea_bisselliella_43
JON-L-4	Tinea_bisselliella_44
JON-L-5	Tinea_bisselliella_45
JON-L-6	Tinea_bisselliella_46
JON-L-7	Niditinea_fuscella_6
KAW-B-1	Tinea_bisselliella_47
KAW-B-2	Tinea_bisselliella_48
KAW-L-1	Tinea_bisselliella_49
KAW-L-2	Monopis_crocicapitella_12
LFN-B-1	Tinea_bisselliella_50
LFN-B-2	Tinea_bisselliella_51
LFN-L-1	Tinea_bisselliella_52
LFN-L-2	Tinea_bisselliella_53
LLC-B-1	Monopis_crocicapitella_13
LLC-B-28	Plodia_interpunctella_15
LLC-B-2	Monopis_crocicapitella_14
LLC-B-3	Monopis_crocicapitella_15
LLC-B-4	Monopis_crocicapitella_16
LLC-B-5	Monopis_crocicapitella_17
LLC-K-18	Niditinea_fuscella_7
LLC-K-1	Tinea_bisselliella_54
LLC-K-2	Monopis_crocicapitella_18
LLC-K-3	Tinea_bisselliella_55
LLC-K-4	Tinea_bisselliella_56
LLC-K-5	Monopis_crocicapitella_19
LLC-K-6	Monopis_crocicapitella_20
LLC-K-7	Monopis_crocicapitella_21
LLC-K-8	Monopis_crocicapitella_22
LLC-L-1	Monopis_crocicapitella_23
LLC-L-2	Monopis_crocicapitella_24
LLC-L-4	Monopis_crocicapitella_25
LLC-L-5	Monopis_crocicapitella_26
LLC-L-7	Tinea_bisselliella_57
LLC-L-8	Tinea_bisselliella_58
LLC-L-9	Niditinea_fuscella_8
LMN-B-1	Tinea_bisselliella_59
LMN-B-2	Tinea_bisselliella_60
LMN-B-3	Tinea_bisselliella_61
LMN-B-4	Tinea_bisselliella_62
LMN-B-5	Tinea_bisselliella_63
LMN-K-1	Tinea_bisselliella_64
LMN-K-2	Tinea_bisselliella_65
LMN-L-15	Niditinea_fuscella_9
LMN-L-1	Tinea_bisselliella_66
LMN-L-3	Tinea_bisselliella_67
LMN-L-4	Tinea_bisselliella_68
MSC-L-1	Niditinea_fuscella_10
ODC-B-1	Monopis_crocicapitella_27
ODC-B-2	Monopis_crocicapitella_28
SPN-B-1	Tinea_bisselliella_69
SPN-B-2	Tinea_bisselliella_70
SPN-B-3	Tinea_bisselliella_71
SPN-K-2	Tinea_bisselliella_72
SPN-K-4	Tinea_bisselliella_73
SPN-K-5	Tinea_bisselliella_74
SPN-K-6	Tinea_bisselliella_75
SPN-L-1	Tinea_croceoverticella_5
SPN-L-2	Niditinea_fuscella_11
SPN-L-3	Tinea_bisselliella_76
SPN-L-4	Tinea_bisselliella_77
SPN-L-5	Tinea_bisselliella_78
SPN-L-6	Tinea_bisselliella_79
SPN-L-7	Tinea_bisselliella_80
SSN-B-14	Niditinea_fuscella_12
SSN-B-16	Niditinea_fuscella_13
SSN-B-1	Plodia_interpunctella_16
SSN-B-2	Plodia_interpunctella_17
SSN-B-37	Niditinea_fuscella_14
SSN-B-3	Niditinea_fuscella_15
SSN-B-47	Tinea_bisselliella_81
SSN-B-4	Plodia_interpunctella_18
SSN-B-5	Plodia_interpunctella_19
SSN-B-6	Plodia_interpunctella_20
SSN-K-12	Niditinea_fuscella_16
SSN-K-1	Plodia_interpunctella_21
SSN-K-21	Niditinea_fuscella_17
SSN-K-2	Plodia_interpunctella_22
SSN-K-3	Plodia_interpunctella_23
SSN-K-4	Plodia_interpunctella_24
SSN-K-5	Niditinea_fuscella_18
SSN-K-6	Plodia_interpunctella_25
SSN-L-1	Niditinea_fuscella_19
SSN-L-20	Niditinea_fuscella_20
SSN-L-3	Plodia_interpunctella_26
SSN-L-48	Niditinea_fuscella_21
SSN-L-4	Plodia_interpunctella_27
SSN-L-5	Plodia_interpunctella_28
SSN-L-6	Plodia_interpunctella_29
TBW-B-1	Tinea_bisselliella_82
TBW-B-2	Tinea_bisselliella_83
TBW-B-3	Tinea_bisselliella_84
